order_id,customer_id,order_date,product,quantity,order_total,status
O1001,C001,2026-05-03,Starter Plan,1,49.0,Paid
O1002,C002,2026-05-05,Data Export,2,30.0,Paid
O1003,C003,2026-05-07,Pro Plan,1,199.0,Paid
O1004,C001,2026-05-18,Data Export,1,15.0,Paid
O1005,C004,2026-05-21,Starter Plan,1,49.0,Refunded
O1006,C005,2026-05-23,Pro Plan,1,199.0,Paid
O1007,C006,2026-05-27,Team Seats,4,120.0,Paid
O1008,C007,2026-06-02,Starter Plan,1,49.0,Pending
O1009,C003,2026-06-04,Team Seats,3,90.0,Paid
O1010,C008,2026-06-08,Data Export,3,45.0,Paid
O1011,C009,2026-06-11,Starter Plan,1,49.0,Paid
O1012,C010,2026-06-15,Pro Plan,1,199.0,Paid
O1013,C001,2026-06-19,Team Seats,2,60.0,Paid
O1014,C006,2026-06-22,Pro Plan,1,199.0,Paid
O1015,C011,2026-06-26,Starter Plan,1,49.0,Cancelled
O1016,C002,2026-07-01,Team Seats,2,60.0,Paid
O1017,C005,2026-07-06,Data Export,5,75.0,Paid
O1018,C007,2026-07-10,Starter Plan,1,49.0,Paid
O1019,C008,2026-07-14,Pro Plan,1,199.0,Paid
O1020,C010,2026-07-18,Team Seats,6,180.0,Paid
O1021,C003,2026-07-22,Data Export,2,30.0,Paid
O1022,C004,2026-07-26,Starter Plan,1,49.0,Paid
O1023,C009,2026-08-02,Pro Plan,1,199.0,Paid
O1024,C001,2026-08-05,Data Export,4,60.0,Paid
O1025,C999,2026-08-09,Starter Plan,1,49.0,Paid
O1026,C888,2026-08-12,Pro Plan,1,199.0,Pending
O1027,C012,2026-08-16,Data Export,2,30.00,Paid
